,crime_id,census_block_geoid,zipcode,region_id,region_name
38045,2959391,420039800001,15215,,
38046,2959393,420031807001,15211,213615,Mount Washington
38047,2959394,420030705003,15232,54374,Shadyside
38048,2959395,420032708001,15212,271156,Brighton Heights
38049,2959396,420035632001,15212,271199,North Shore
38050,2959397,420030902002,15201,276248,Central Lawrenceville
38051,2959398,420031207001,15208,271187,Homewood West
38052,2959399,420030305002,15219,273391,Crawford Roberts
38053,2959400,420031011001,15201,271227,Upper Lawrenceville
38054,2959401,,,,
38055,2959404,420032615002,15212,271207,Perry South
38056,2959405,420032620001,15212,343628,Spring Hill - City View
38057,2959406,420032701001,15212,271156,Brighton Heights
38058,2959407,420030201005,15219,271161,Central Business District
38059,2959408,420031306003,15221,271172,East Hills
38060,2959409,420032904002,15210,208967,Carrick
38061,2959410,420031413001,15217,271220,Squirrel Hill South
38062,2959411,420035632001,15212,271199,North Shore
38063,2959412,420039812001,15212,271199,North Shore
38064,2959413,420031803002,15210,272753,Allentown
38065,2959414,420031303001,15208,271186,Homewood South
38066,2959415,,,,
38067,2959416,420035624004,15210,208285,Beltzhoover
38068,2959417,420030201001,15222,271161,Central Business District
38069,2959418,420032904005,15227,208967,Carrick
38070,2959419,420031306002,15221,271172,East Hills
38071,2959420,420030409003,15213,214069,Oakland
38072,2959421,420031903002,15211,210000,Duquesne Heights
38073,2959422,,,,
38074,2959423,420030708001,15206,54374,Shadyside
38075,2959424,,,,
38076,2959425,420039800001,15238,,
38077,2959426,420032715002,15212,343629,Marshall - Shadeland
38078,2959427,420035629001,15207,211463,Hazelwood
38079,2959428,420031702001,15203,271217,Southside Flats
38080,2959429,420032615001,15214,271207,Perry South
38081,2959430,420033001004,15210,212283,Knoxville
38082,2959431,420030501003,15219,271194,Middle Hill
38083,2959432,420031115004,15206,38290,East Liberty
38084,2959433,420030405002,15213,214069,Oakland
38085,2959434,,,,
38086,2959435,420031413001,15217,271220,Squirrel Hill South
38087,2959436,420033207002,15227,214217,Overbrook
38088,2959437,420031803002,15210,272753,Allentown
38089,2959438,420031207002,15208,271187,Homewood West
38090,2959439,420030402001,15213,271231,West Oakland
38091,2959440,420030506003,15219,271226,Upper Hill
38092,2959441,420035624002,15210,208285,Beltzhoover
38093,2959442,420035619002,15206,274318,Lincoln-Lemington-Belmar
38094,2959443,420035612002,15221,,
38095,2959462,420030203001,15222,216117,Strip District
38096,2959463,420031014004,15206,213494,Morningside
38097,2959464,420035628001,15205,343630,East Carnegie
38098,2959466,420035629001,15207,211463,Hazelwood
38099,2959467,420031102002,15206,273999,Highland Park
38100,2959468,420030201003,15219,271161,Central Business District
38101,2959469,420030509001,15219,271154,Bedford Dwellings
38102,2959470,420030804001,15224,208472,Bloomfield
38103,2959473,420030804001,15224,208472,Bloomfield
38104,2959474,420030201003,15222,271161,Central Business District
38105,2959475,420030409001,15213,214069,Oakland
38106,2959476,420030603002,15201,271192,Lower Lawrenceville
38107,2959478,420031517005,15217,211218,Greenfield
38108,2959479,420031609002,15203,271217,Southside Flats
38109,2959480,420030103003,15219,276217,Bluff
38110,2959481,420031920005,15216,208228,Beechview
38111,2959482,420031702001,15203,271217,Southside Flats
38112,2959483,420030201003,15222,271161,Central Business District
38113,2959484,,,,
38114,2959485,420030804001,15224,208472,Bloomfield
38115,2959486,420030804001,15224,208472,Bloomfield
38116,2959487,420030804001,15224,208472,Bloomfield
38117,2959488,420031517005,15217,211218,Greenfield
38118,2959489,420032609001,15214,271200,Northview Heights
38119,2959490,420032503001,15212,271162,Central Northside
38120,2959492,420030201004,15219,271161,Central Business District
38121,2959493,420031016001,15224,273806,Garfield
