census_block_geoid,count
420030103001.0,53
420030103002.0,153
420030103003.0,185
420030103004.0,178
420030201001.0,408
420030201002.0,229
420030201003.0,737
420030201004.0,86
420030201005.0,341
420030201006.0,232
420030203001.0,475
420030305001.0,116
420030305002.0,280
420030402001.0,133
420030402002.0,183
420030404001.0,111
420030404002.0,21
420030405001.0,238
420030405002.0,219
420030406001.0,166
420030409001.0,194
420030409002.0,97
420030409003.0,64
420030501001.0,73
420030501002.0,164
420030501003.0,230
420030506001.0,61
420030506002.0,58
420030506003.0,106
420030509001.0,175
420030510001.0,86
420030510002.0,60
420030511001.0,88
420030603001.0,133
420030603002.0,193
420030605001.0,89
420030605002.0,60
420030703001.0,72
420030703002.0,126
420030703003.0,69
420030705001.0,37
420030705002.0,47
420030705003.0,189
420030706001.0,67
420030706002.0,97
420030708001.0,238
420030708002.0,36
420030709001.0,134
420030709002.0,61
420030709003.0,24
420030709004.0,38
420030802001.0,97
420030802002.0,77
420030804001.0,89
420030804002.0,88
420030806001.0,82
420030806002.0,57
420030807001.0,71
420030807002.0,159
420030809001.0,91
420030809002.0,98
420030901001.0,62
420030901002.0,74
420030902001.0,147
420030902002.0,62
420030902003.0,66
420030903001.0,141
420030903002.0,117
420031005001.0,51
420031005002.0,74
420031011001.0,80
420031011002.0,66
420031011003.0,54
420031014001.0,75
420031014002.0,17
420031014003.0,57
420031014004.0,17
420031016001.0,104
420031017001.0,59
420031017002.0,136
420031018001.0,32
420031018002.0,90
420031102001.0,44
420031102002.0,34
420031102003.0,46
420031102004.0,113
420031106001.0,35
420031106002.0,31
420031106003.0,22
420031113001.0,66
420031113002.0,117
420031113003.0,163
420031113004.0,116
420031114001.0,103
420031114002.0,79
420031115001.0,201
420031115002.0,140
420031115003.0,218
420031115004.0,194
420031203001.0,208
420031203002.0,100
420031204001.0,82
420031204002.0,34
420031207001.0,95
420031207002.0,106
420031208001.0,95
420031208002.0,252
420031301001.0,217
420031301002.0,93
420031301003.0,123
420031302001.0,101
420031302002.0,122
420031303001.0,130
420031303002.0,133
420031303003.0,139
420031304001.0,141
420031304002.0,182
420031304003.0,68
420031306001.0,130
420031306002.0,73
420031306003.0,290
420031401001.0,35
420031401002.0,56
420031401003.0,17
420031401004.0,36
420031402001.0,40
420031402002.0,64
420031403001.0,20
420031403002.0,29
420031403003.0,70
420031403004.0,36
420031404001.0,55
420031404002.0,26
420031404003.0,51
420031405001.0,113
420031405002.0,41
420031405003.0,46
420031406001.0,85
420031406002.0,60
420031406003.0,104
420031408001.0,79
420031408002.0,154
420031408003.0,59
420031410001.0,59
420031411001.0,46
420031413001.0,147
420031413002.0,56
420031413003.0,87
420031414001.0,48
420031414002.0,26
420031414003.0,32
420031414004.0,94
420031414005.0,61
420031516001.0,48
420031516002.0,63
420031516003.0,32
420031517001.0,85
420031517002.0,38
420031517003.0,36
420031517004.0,15
420031517005.0,58
420031517006.0,41
420031608001.0,42
420031608002.0,73
420031608003.0,35
420031608004.0,85
420031609001.0,195
420031609002.0,444
420031702001.0,344
420031702002.0,254
420031702003.0,614
420031702004.0,528
420031706001.0,43
420031706002.0,88
420031706003.0,85
420031803001.0,151
420031803002.0,348
420031803003.0,122
420031807001.0,74
420031807002.0,86
420031807003.0,103
420031903001.0,89
420031903002.0,82
420031911001.0,66
420031911002.0,97
420031914001.0,206
420031914002.0,157
420031915001.0,137
420031915002.0,148
420031916001.0,107
420031916002.0,58
420031916003.0,85
420031916004.0,93
420031916005.0,115
420031917001.0,131
420031917002.0,31
420031917003.0,69
420031918001.0,120
420031918002.0,31
420031918003.0,68
420031918004.0,124
420031918005.0,31
420031918006.0,49
420031918007.0,63
420031919001.0,36
420031919002.0,69
420031919003.0,71
420031920001.0,38
420031920002.0,74
420031920003.0,82
420031920004.0,81
420031920005.0,47
420032022001.0,178
420032022002.0,139
420032022003.0,41
420032023001.0,52
420032023002.0,64
420032023003.0,87
420032023004.0,57
420032107001.0,267
420032107002.0,106
420032206001.0,326
420032206002.0,208
420032406001.0,126
420032406002.0,205
420032412001.0,41
420032412002.0,54
420032503001.0,171
420032507001.0,225
420032509001.0,109
420032509002.0,88
420032602001.0,88
420032602002.0,72
420032602003.0,79
420032607001.0,113
420032607002.0,68
420032609001.0,345
420032612001.0,51
420032614001.0,70
420032614002.0,111
420032614003.0,109
420032614004.0,64
420032615001.0,130
420032615002.0,176
420032620001.0,149
420032620002.0,151
420032620003.0,87
420032701001.0,128
420032701002.0,99
420032703001.0,182
420032703002.0,82
420032704001.0,98
420032708001.0,84
420032708002.0,84
420032708003.0,38
420032715001.0,169
420032715002.0,197
420032715003.0,177
420032814001.0,68
420032814002.0,227
420032815001.0,58
420032815002.0,42
420032901001.0,168
420032901002.0,115
420032901003.0,150
420032902001.0,78
420032902002.0,68
420032902003.0,47
420032902004.0,104
420032902005.0,101
420032904001.0,109
420032904002.0,255
420032904003.0,58
420032904004.0,60
420032904005.0,94
420033001001.0,46
420033001002.0,103
420033001003.0,205
420033001004.0,127
420033001005.0,120
420033001006.0,96
420033102001.0,22
420033102002.0,17
420033102003.0,25
420033102004.0,51
420033102005.0,37
420033103001.0,30
420033204001.0,51
420033204002.0,58
420033204003.0,60
420033206001.0,88
420033206002.0,83
420033207001.0,92
420033207002.0,78
420034013002.0,1
420034035001.0,1
420034090003.0,1
420034120012.0,1
420034141022.0,1
420034190001.0,1
420034211002.0,28
420034220002.0,1
420034230003.0,1
420034240003.0,1
420034250004.0,1
420034281002.0,3
420034282002.0,1
420034291001.0,1
420034292012.0,2
420034311001.0,1
420034311002.0,2
420034324003.0,1
420034350001.0,2
420034350002.0,2
420034511023.0,1
420034560042.0,1
420034592011.0,1
420034610001.0,1
420034626001.0,1
420034626002.0,1
420034639001.0,1
420034639003.0,1
420034643004.0,4
420034644001.0,3
420034644003.0,2
420034644004.0,2
420034656001.0,2
420034656002.0,1
420034658001.0,2
420034689002.0,1
420034689003.0,1
420034690003.0,8
420034705021.0,1
420034721001.0,3
420034721002.0,1
420034723002.0,1
420034732002.0,1
420034733001.0,5
420034736012.0,1
420034752002.0,1
420034772001.0,2
420034781001.0,1
420034782002.0,1
420034790001.0,1
420034801013.0,1
420034803001.0,7
420034803003.0,4
420034810001.0,52
420034810002.0,33
420034810003.0,57
420034810004.0,2
420034838002.0,2
420034838003.0,1
420034845003.0,1
420034869001.0,1
420034881002.0,21
420034886003.0,2
420034890013.0,1
420034890021.0,1
420034928001.0,1
420035010001.0,1
420035100001.0,7
420035100002.0,1
420035129001.0,1
420035138002.0,1
420035151002.0,3
420035200022.0,1
420035213011.0,2
420035213022.0,1
420035214021.0,1
420035220003.0,1
420035231001.0,1
420035231003.0,1
420035231004.0,2
420035232002.0,1
420035234004.0,1
420035236001.0,1
420035237022.0,1
420035262021.0,2
420035262022.0,2
420035519002.0,1
420035524003.0,1
420035604001.0,5
420035605002.0,1
420035606001.0,3
420035610001.0,1
420035610002.0,5
420035611001.0,8
420035612001.0,10
420035612002.0,13
420035614002.0,1
420035615002.0,1
420035615003.0,2
420035616001.0,68
420035616002.0,75
420035616003.0,87
420035616004.0,87
420035617001.0,26
420035617002.0,45
420035619001.0,50
420035619002.0,199
420035620001.0,101
420035620002.0,124
420035620003.0,44
420035623001.0,60
420035623002.0,81
420035623003.0,95
420035623004.0,93
420035623005.0,36
420035623006.0,112
420035624001.0,60
420035624002.0,79
420035624003.0,60
420035624004.0,124
420035624005.0,79
420035625001.0,85
420035625002.0,110
420035625003.0,174
420035625004.0,252
420035626001.0,114
420035626002.0,127
420035626003.0,208
420035626004.0,78
420035627001.0,175
420035627002.0,282
420035628001.0,41
420035628002.0,64
420035629001.0,113
420035629002.0,30
420035629003.0,75
420035630001.0,74
420035630002.0,35
420035630003.0,37
420035630004.0,53
420035631001.0,60
420035631002.0,115
420035631003.0,35
420035632001.0,209
420035632002.0,594
420035632003.0,309
420035638001.0,1
420035639002.0,2
420039800001.0,232
420039801001.0,40
420039803001.0,7
420039804001.0,23
420039805001.0,42
420039806001.0,188
420039807001.0,286
420039808001.0,20
420039809001.0,35
420039810001.0,45
420039811001.0,7
420039812001.0,261
420039818001.0,22
420039822001.0,101
