,GEO.tract,norm_count
0,103.0,0.0030136500620457367
1,201.0,0.0039915473115754874
2,203.0,0.024926686217008796
3,305.0,0.008133971291866028
4,402.0,0.008374384236453201
5,403.0,
6,404.0,0.007921714818266543
7,405.0,0.005089820359281437
8,406.0,0.007633587786259542
9,409.0,0.006415094339622641
10,501.0,0.009982384028185555
11,506.0,0.008646998982706003
12,507.0,
13,509.0,0.014938488576449912
14,510.0,0.008999470619375331
15,511.0,0.02533532041728763
16,603.0,0.006432084752175558
17,605.0,0.011938202247191011
18,703.0,0.0085
19,705.0,0.005496281926931782
20,706.0,0.008840353614144566
21,708.0,0.009860788863109048
22,709.0,0.00347009593794652
23,802.0,0.009976525821596244
24,804.0,0.011470985155195682
25,806.0,0.007848568790397045
26,807.0,0.0118137595552467
27,809.0,0.009703196347031963
28,901.0,0.009577464788732394
29,902.0,0.006099748833871547
30,903.0,0.010005885815185403
31,1001.0,
32,1005.0,0.007314974182444062
33,1011.0,0.005772495755517827
34,1014.0,0.0049047893825735715
35,1016.0,0.01864035087719298
36,1017.0,0.012336719883889695
37,1018.0,0.00610632183908046
38,1102.0,0.004211047807778053
39,1106.0,0.006930289441500204
40,1113.0,0.006664053312426499
41,1114.0,0.011132940406024885
42,1115.0,0.005229160258382036
43,1201.0,
44,1202.0,
45,1203.0,0.01096067053513862
46,1204.0,0.022427440633245383
47,1207.0,0.0199764982373678
48,1208.0,0.02023809523809524
49,1301.0,0.008673469387755102
50,1302.0,0.01154891304347826
51,1303.0,0.014991181657848324
52,1304.0,0.015639374425023
53,1306.0,0.005546492659053833
54,1401.0,0.002915951972555746
55,1402.0,0.0063173541434411
56,1403.0,0.004949053857350801
57,1404.0,0.007346585998271392
58,1405.0,0.008669046404895462
59,1406.0,0.005579258286839514
60,1408.0,0.0036653730056058647
61,1410.0,0.018579234972677595
62,1411.0,0.012801204819277108
63,1413.0,0.0032698595883823814
64,1414.0,0.0031853100993067267
65,1501.0,
66,1504.0,
67,1515.0,
68,1516.0,0.006571318129107074
69,1517.0,0.003537981269510926
70,1603.0,
71,1604.0,
72,1606.0,
73,1607.0,
74,1608.0,0.006471259992386753
75,1609.0,0.0051608986035215545
76,1702.0,0.004582210242587601
77,1706.0,0.008478802992518703
78,1803.0,0.006444275966641395
79,1806.0,
80,1807.0,0.00718816067653277
81,1809.0,
82,1903.0,0.008568548387096774
83,1911.0,0.0069672131147540985
84,1914.0,0.006348020911127707
85,1915.0,0.007932804479701353
86,1916.0,0.0038262435291469728
87,1917.0,0.004743303571428571
88,1918.0,0.0033151326053042123
89,1919.0,0.007940214852872489
90,1920.0,0.004833665055444982
91,1921.0,
92,2016.0,
93,2017.0,
94,2018.0,
95,2019.0,
96,2020.0,
97,2021.0,
98,2022.0,0.007314974182444062
99,2023.0,0.004038964124495129
100,2107.0,0.008660213958227204
101,2108.0,
102,2201.0,
103,2204.0,
104,2205.0,
105,2206.0,0.010890454836643177
106,2304.0,
107,2406.0,0.0066614420062695925
108,2412.0,0.02111801242236025
109,2503.0,0.012869038607115822
110,2507.0,0.020214030915576695
111,2509.0,0.01504424778761062
112,2602.0,0.008378511582060127
113,2607.0,0.00860323886639676
114,2609.0,0.01126573889993373
115,2612.0,0.015287769784172662
116,2614.0,0.008753861997940269
117,2615.0,0.009994121105232217
118,2620.0,0.007051016175860639
119,2701.0,0.005866114561766736
120,2703.0,0.007787448465414567
121,2704.0,0.012309920347574221
122,2708.0,0.005944055944055944
123,2715.0,0.0052227342549923195
124,2805.0,
125,2807.0,
126,2808.0,
127,2811.0,
128,2812.0,
129,2814.0,0.00800753650494583
130,2815.0,0.011946591707659873
131,2901.0,0.008280565026790063
132,2902.0,0.004630890765459003
133,2904.0,0.004375804375804376
134,3001.0,0.0036425969573601886
135,3101.0,
136,3102.0,0.004959159859976663
137,3103.0,0.017223910840932118
138,3204.0,0.008087535680304472
139,3206.0,0.006964358869315854
140,3207.0,0.010448678549477565
141,4810.0,0.0049970605526161085
142,5599.0,
143,6699.0,
144,7799.0,
