census_block_geoid,count
420030103001.0,63
420030103002.0,149
420030103003.0,168
420030103004.0,163
420030201001.0,610
420030201002.0,295
420030201003.0,823
420030201004.0,119
420030201005.0,371
420030201006.0,283
420030203001.0,505
420030305001.0,156
420030305002.0,292
420030402001.0,91
420030402002.0,103
420030404001.0,104
420030404002.0,20
420030405001.0,316
420030405002.0,193
420030406001.0,176
420030409001.0,199
420030409002.0,96
420030409003.0,59
420030501001.0,77
420030501002.0,154
420030501003.0,233
420030506001.0,61
420030506002.0,44
420030506003.0,69
420030509001.0,139
420030510001.0,79
420030510002.0,41
420030511001.0,83
420030603001.0,112
420030603002.0,187
420030605001.0,81
420030605002.0,58
420030703001.0,61
420030703002.0,137
420030703003.0,48
420030705001.0,43
420030705002.0,47
420030705003.0,178
420030706001.0,67
420030706002.0,100
420030708001.0,230
420030708002.0,37
420030709001.0,91
420030709002.0,67
420030709003.0,26
420030709004.0,22
420030802001.0,102
420030802002.0,60
420030804001.0,119
420030804002.0,82
420030806001.0,85
420030806002.0,46
420030807001.0,60
420030807002.0,157
420030809001.0,129
420030809002.0,201
420030901001.0,93
420030901002.0,97
420030902001.0,141
420030902002.0,50
420030902003.0,84
420030903001.0,148
420030903002.0,82
420031005001.0,58
420031005002.0,85
420031011001.0,97
420031011002.0,52
420031011003.0,61
420031014001.0,102
420031014002.0,40
420031014003.0,47
420031014004.0,27
420031016001.0,100
420031017001.0,44
420031017002.0,127
420031018001.0,33
420031018002.0,86
420031102001.0,45
420031102002.0,52
420031102003.0,49
420031102004.0,83
420031106001.0,69
420031106002.0,42
420031106003.0,31
420031113001.0,62
420031113002.0,96
420031113003.0,122
420031113004.0,103
420031114001.0,105
420031114002.0,105
420031115001.0,164
420031115002.0,152
420031115003.0,244
420031115004.0,149
420031203001.0,242
420031203002.0,100
420031204001.0,88
420031204002.0,39
420031207001.0,61
420031207002.0,134
420031208001.0,77
420031208002.0,234
420031301001.0,184
420031301002.0,46
420031301003.0,111
420031302001.0,93
420031302002.0,90
420031303001.0,154
420031303002.0,127
420031303003.0,169
420031304001.0,185
420031304002.0,110
420031304003.0,53
420031306001.0,145
420031306002.0,112
420031306003.0,346
420031401001.0,52
420031401002.0,49
420031401003.0,17
420031401004.0,42
420031402001.0,53
420031402002.0,67
420031403001.0,20
420031403002.0,30
420031403003.0,51
420031403004.0,46
420031404001.0,41
420031404002.0,20
420031404003.0,42
420031405001.0,168
420031405002.0,25
420031405003.0,44
420031406001.0,110
420031406002.0,57
420031406003.0,142
420031408001.0,85
420031408002.0,156
420031408003.0,83
420031410001.0,65
420031411001.0,41
420031413001.0,116
420031413002.0,67
420031413003.0,92
420031414001.0,53
420031414002.0,29
420031414003.0,41
420031414004.0,125
420031414005.0,65
420031516001.0,60
420031516002.0,43
420031516003.0,35
420031517001.0,90
420031517002.0,51
420031517003.0,57
420031517004.0,16
420031517005.0,64
420031517006.0,56
420031608001.0,51
420031608002.0,91
420031608003.0,69
420031608004.0,117
420031609001.0,187
420031609002.0,391
420031702001.0,393
420031702002.0,311
420031702003.0,943
420031702004.0,619
420031706001.0,65
420031706002.0,90
420031706003.0,97
420031803001.0,157
420031803002.0,419
420031803003.0,94
420031807001.0,95
420031807002.0,78
420031807003.0,112
420031903001.0,75
420031903002.0,82
420031911001.0,72
420031911002.0,95
420031914001.0,195
420031914002.0,144
420031915001.0,107
420031915002.0,118
420031916001.0,86
420031916002.0,72
420031916003.0,80
420031916004.0,101
420031916005.0,101
420031917001.0,142
420031917002.0,21
420031917003.0,89
420031918001.0,87
420031918002.0,49
420031918003.0,80
420031918004.0,90
420031918005.0,48
420031918006.0,47
420031918007.0,82
420031919001.0,39
420031919002.0,67
420031919003.0,82
420031920001.0,36
420031920002.0,90
420031920003.0,88
420031920004.0,76
420031920005.0,52
420032022001.0,157
420032022002.0,113
420032022003.0,35
420032023001.0,54
420032023002.0,99
420032023003.0,95
420032023004.0,70
420032107001.0,303
420032107002.0,114
420032206001.0,319
