census_block_geoid,count
420034900022.0,1
420034950001.0,3
420035010001.0,1
420035041005.0,1
420035070002.0,1
420035100001.0,18
420035100002.0,3
420035120002.0,2
420035138001.0,1
420035138002.0,2
420035151002.0,1
420035151003.0,1
420035154011.0,1
420035180011.0,1
420035212002.0,1
420035231001.0,1
420035234006.0,1
420035235013.0,1
420035237011.0,1
420035238004.0,6
420035240001.0,1
420035240002.0,2
420035262022.0,1
420035512003.0,2
420035520001.0,2
420035521001.0,1
420035604001.0,8
420035604002.0,1
420035605001.0,3
420035606001.0,4
420035610002.0,1
420035611001.0,7
420035612001.0,8
420035612002.0,11
420035614003.0,1
420035615002.0,1
420035615003.0,1
420035616001.0,64
420035616002.0,57
420035616003.0,65
420035616004.0,92
420035617001.0,24
420035617002.0,59
420035619001.0,38
420035619002.0,162
420035620001.0,106
420035620002.0,112
420035620003.0,58
420035623001.0,56
420035623002.0,58
420035623003.0,69
420035623004.0,102
420035623005.0,53
420035623006.0,116
420035624001.0,87
420035624002.0,104
420035624003.0,58
420035624004.0,97
420035624005.0,86
420035625001.0,95
420035625002.0,122
420035625003.0,171
420035625004.0,201
420035626001.0,96
420035626002.0,128
420035626003.0,184
420035626004.0,83
420035627001.0,152
420035627002.0,299
420035628001.0,47
420035628002.0,83
420035629001.0,97
420035629002.0,36
420035629003.0,62
420035630001.0,57
420035630002.0,61
420035630003.0,26
420035630004.0,53
420035631001.0,49
420035631002.0,122
420035631003.0,33
420035632001.0,175
420035632002.0,550
420035632003.0,329
420035639002.0,2
420039800001.0,211
420039801001.0,42
420039803001.0,12
420039804001.0,11
420039805001.0,109
420039806001.0,151
420039807001.0,330
420039808001.0,16
420039809001.0,31
420039810001.0,39
420039811001.0,14
420039812001.0,201
420039818001.0,18
420039822001.0,104
