census_block_geoid,count
420034761003.0,1
420034762003.0,1
420034772001.0,2
420034781001.0,1
420034782002.0,1
420034782003.0,1
420034790001.0,5
420034803001.0,7
420034803002.0,1
420034803003.0,2
420034810001.0,45
420034810002.0,44
420034810003.0,68
420034810004.0,4
420034825001.0,1
420034838001.0,2
420034838002.0,1
420034838003.0,1
420034843001.0,1
420034845004.0,2
420034867002.0,1
420034868001.0,1
420034881002.0,8
420034882001.0,3
420034882002.0,1
420034885001.0,1
420034890013.0,1
420034911011.0,1
420034927002.0,1
420034928001.0,1
420034929001.0,1
420035041002.0,2
420035041004.0,1
420035041005.0,1
420035070001.0,1
420035080002.0,1
420035094002.0,1
420035100001.0,4
420035120001.0,1
420035120002.0,1
420035151002.0,1
420035153001.0,3
420035154013.0,1
420035200022.0,1
420035211001.0,1
420035212002.0,1
420035215002.0,1
420035220002.0,1
420035231002.0,1
420035231003.0,1
420035231004.0,1
420035232004.0,2
420035234001.0,2
420035235021.0,1
420035236002.0,1
420035237023.0,1
420035240003.0,1
420035253001.0,1
420035522001.0,1
420035604001.0,3
420035604002.0,1
420035605001.0,1
420035605002.0,5
420035606001.0,3
420035610001.0,2
420035611001.0,12
420035612001.0,7
420035612002.0,8
420035614002.0,1
420035614003.0,2
420035615003.0,1
420035616001.0,56
420035616002.0,74
420035616003.0,111
420035616004.0,96
420035617001.0,17
420035617002.0,59
420035619001.0,50
420035619002.0,194
420035620001.0,76
420035620002.0,112
420035620003.0,42
420035623001.0,114
420035623002.0,84
420035623003.0,81
420035623004.0,78
420035623005.0,47
420035623006.0,155
420035624001.0,50
420035624002.0,103
420035624003.0,50
420035624004.0,89
420035624005.0,76
420035625001.0,92
420035625002.0,105
420035625003.0,148
420035625004.0,196
420035626001.0,111
420035626002.0,142
420035626003.0,173
420035626004.0,87
420035627001.0,170
420035627002.0,281
420035628001.0,42
420035628002.0,60
420035629001.0,129
420035629002.0,51
420035629003.0,113
420035630001.0,79
420035630002.0,71
420035630003.0,32
420035630004.0,81
420035631001.0,49
420035631002.0,136
420035631003.0,43
420035632001.0,237
420035632002.0,654
420035632003.0,339
420035639001.0,1
420035639002.0,3
420035641002.0,1
420035642002.0,1
420039800001.0,193
420039801001.0,50
420039803001.0,5
420039804001.0,24
420039805001.0,42
420039806001.0,167
420039807001.0,161
420039808001.0,16
420039809001.0,60
420039810001.0,63
420039811001.0,11
420039812001.0,228
420039818001.0,21
420039822001.0,91
