,crime_id,census_block_geoid,zipcode,region_id,region_name
0,2654957,420031303002,15208,271186,Homewood South
1,2655005,420039810001,15201,276248,Central Lawrenceville
2,2655006,420032609001,15214,271200,Northview Heights
3,2655007,420032701001,15212,271156,Brighton Heights
4,2655008,420031208002,15206,274272,Larimer
5,2655011,420031304003,15221,271186,Homewood South
6,2655012,420032206001,15212,271162,Central Northside
7,2655013,420031102001,15206,273999,Highland Park
8,2655014,420035627002,15212,343638,Allegheny Center
9,2655015,420031017002,15224,273806,Garfield
10,2655016,420030903002,15224,208472,Bloomfield
11,2655018,420035627001,15233,272749,Allegheny West
12,2655022,420031306001,15221,271172,East Hills
13,2655023,420031113002,15206,38290,East Liberty
14,2655024,420030807002,15232,271179,Friendship
15,2655025,420031916004,15216,208228,Beechview
16,2655026,420032107002,15233,212921,Manchester
17,2655029,420031301001,15208,271185,Homewood North
18,2655030,420030201002,15222,271161,Central Business District
19,2655032,420035624004,15210,208285,Beltzhoover
20,2655033,420031011002,15201,271227,Upper Lawrenceville
21,2655034,420031803001,15210,272753,Allentown
22,2655035,420030103003,15219,276217,Bluff
23,2655036,420031301001,15208,271185,Homewood North
24,2655037,420031014003,15206,213494,Morningside
25,2655038,420030509001,15219,271154,Bedford Dwellings
26,2655040,420030511001,15219,271224,Terrace Village
27,2655041,420031702003,15203,271217,Southside Flats
28,2655043,420030603002,15201,271192,Lower Lawrenceville
29,2655044,420035620002,15213,274732,North Oakland
30,2655045,,,,
31,2655048,420032703001,15212,271156,Brighton Heights
32,2655049,420035620002,15213,208472,Bloomfield
33,2655050,420035632003,15212,271169,East Allegheny
34,2655055,420032715001,15212,343629,Marshall - Shadeland
35,2655057,420032022003,15204,215587,Sheraden
36,2655058,420031301003,15208,271185,Homewood North
37,2655060,,,,
38,2655062,420033001004,15210,212283,Knoxville
39,2655064,420032620002,15212,343628,Spring Hill - City View
40,2655075,420031916004,15216,208228,Beechview
41,2655077,420030201003,15219,271161,Central Business District
42,2655078,420030201001,15219,271161,Central Business District
43,2655079,420031702001,15203,271217,Southside Flats
44,2655080,420030201002,15222,271161,Central Business District
45,2655081,420039812001,15212,271199,North Shore
46,2655082,420031517006,15217,211218,Greenfield
47,2655083,420031517006,15217,211218,Greenfield
48,2655084,420030509001,15219,271154,Bedford Dwellings
49,2655085,420035616004,15210,272790,Arlington
50,2655087,420032022002,15204,215587,Sheraden
51,2655088,420032614004,15214,271207,Perry South
52,2655090,420031304001,15208,271186,Homewood South
53,2655091,420032902005,15210,208967,Carrick
54,2655092,420031402002,15232,271219,Squirrel Hill North
55,2655093,420033207002,15234,214217,Overbrook
56,2655094,420031702004,15203,271217,Southside Flats
57,2655096,420031011001,15201,271227,Upper Lawrenceville
58,2655097,420030405002,15213,214069,Oakland
59,2655098,420039810001,15201,276248,Central Lawrenceville
60,2655099,420031306001,15208,271172,East Hills
61,2655100,420030603001,15201,271192,Lower Lawrenceville
62,2655102,,,,
63,2655103,420035200022,15145,,
64,2655104,420032614004,15214,271207,Perry South
65,2655105,420035626002,15220,210276,Elliott
66,2655106,420031113002,15206,38290,East Liberty
67,2655107,420032901002,15210,208967,Carrick
68,2655108,420032715001,15212,343629,Marshall - Shadeland
69,2655110,420032507001,15212,343625,California-Kirkbride
70,2655112,420032022003,15204,215587,Sheraden
71,2655115,420035629001,15207,211463,Hazelwood
72,2655116,420030201002,15222,271161,Central Business District
73,2655117,420031115002,15206,38290,East Liberty
74,2655119,420033001006,15210,212283,Knoxville
75,2655120,420031408002,15217,271220,Squirrel Hill South
76,2655121,420031408001,15217,271220,Squirrel Hill South
77,2655122,420031115003,15206,38290,East Liberty
78,2655123,420035620001,15213,274732,North Oakland
79,2655124,420031915001,15226,213615,Mount Washington
80,2655125,420030510002,15219,271224,Terrace Village
81,2655126,,,,
82,2655130,420030201003,15222,271161,Central Business District
83,2655133,420031702003,15203,271217,Southside Flats
84,2655135,420033001004,15210,212283,Knoxville
85,2655137,420032614004,15214,271207,Perry South
86,2655138,420039807001,15219,271216,South Shore
87,2655139,420032715001,15212,343629,Marshall - Shadeland
88,2655140,420032715002,15212,343629,Marshall - Shadeland
89,2655141,420032901002,15210,208967,Carrick
90,2655142,420035632003,15212,271169,East Allegheny
91,2655143,420031303003,15208,271186,Homewood South
92,2655144,420034810002,15210,212283,Knoxville
93,2655147,420031918001,15226,208709,Brookline
94,2655148,420032507001,15212,343625,California-Kirkbride
95,2655149,420032022001,15204,215587,Sheraden
96,2655150,420030405002,15213,214069,Oakland
97,2655151,420032206002,15212,271162,Central Northside
98,2655153,420031208001,15206,274272,Larimer
99,2655156,420031608002,15203,271218,Southside Slopes
100,2655157,420031702003,15203,271217,Southside Flats
101,2655158,420035632003,15212,271169,East Allegheny
102,2655159,420030708001,15206,54374,Shadyside
