,crime_id,census_block_geoid,zipcode,region_id,region_name
0,2573288,420032614002,15214,271207,Perry South
1,2573290,420035620001,15213,274732,North Oakland
2,2573310,420033001006,15210,212283,Knoxville
3,2573625,420035631003,15220,275170,Ridgemont
4,2573630,,,,
5,2573655,,,,
6,2573952,420030506002,15219,271226,Upper Hill
7,2573957,420032620003,15212,343628,Spring Hill - City View
8,2573962,420031911001,15211,210000,Duquesne Heights
9,2573964,420032503001,15212,271162,Central Northside
10,2574466,420030501002,15219,271194,Middle Hill
11,2575082,420035620002,15213,271226,Upper Hill
12,2575136,420031207002,15208,274272,Larimer
13,2575241,420033001005,15210,212283,Knoxville
14,2575266,420031306003,15221,271172,East Hills
15,2575267,420032614003,15214,271207,Perry South
16,2575493,420031014002,15206,213494,Morningside
17,2575495,420031609002,15203,271217,Southside Flats
18,2575496,420031302002,15208,271185,Homewood North
19,2575497,420032614002,15212,271207,Perry South
20,2575498,420033001005,15210,212283,Knoxville
21,2575499,420031702004,15203,271217,Southside Flats
22,2575500,420033001003,15210,212283,Knoxville
23,2575502,420031413003,15217,271220,Squirrel Hill South
24,2575503,420030703002,15232,54374,Shadyside
25,2575505,420030902001,15201,276248,Central Lawrenceville
26,2575506,420031918001,15226,208709,Brookline
27,2575510,420031204001,15206,274272,Larimer
28,2575511,420031914001,15211,213615,Mount Washington
29,2575512,420030409001,15213,214069,Oakland
30,2575514,420032206001,15212,271162,Central Northside
31,2575516,420030201005,15219,271161,Central Business District
32,2575519,420031807001,15211,213615,Mount Washington
33,2575521,420031306003,15221,271172,East Hills
34,2575525,420031102004,15206,273999,Highland Park
35,2575580,420031405003,15208,271208,Point Breeze North
36,2575582,420032814001,15204,343634,Crafton Heights
37,2575583,420031302001,15208,271185,Homewood North
38,2575589,,,,
39,2575596,420030201003,15219,271161,Central Business District
40,2575601,,,,
41,2575605,420032715003,15212,343629,Marshall - Shadeland
42,2575612,420031916002,15216,208228,Beechview
43,2575613,420035624005,15211,208285,Beltzhoover
44,2575615,420030902001,15201,276248,Central Lawrenceville
45,2575617,420032620003,15212,343628,Spring Hill - City View
46,2575621,420032901001,15210,208967,Carrick
47,2575623,420031918006,15226,208709,Brookline
48,2575625,420035617002,15210,271195,Mt Oliver
49,2575627,420033206002,15226,208709,Brookline
50,2575631,420039800001,15238,,
51,2575635,420031608004,15210,271218,Southside Slopes
52,2575637,420031301001,15208,271185,Homewood North
53,2575641,420031011002,15201,271227,Upper Lawrenceville
54,2575645,420032107001,15233,212921,Manchester
55,2575648,420033206002,15226,208709,Brookline
56,2575649,420031301001,15208,271185,Homewood North
57,2575655,420030511001,15219,271224,Terrace Village
58,2575658,420035617002,15210,271195,Mt Oliver
59,2575659,420035625002,15204,215587,Sheraden
60,2575662,420031302002,15208,271185,Homewood North
61,2575666,420033207001,15234,214217,Overbrook
62,2575669,420030802002,15224,208472,Bloomfield
63,2575670,420032614002,15214,271207,Perry South
64,2575671,420035632002,15212,271169,East Allegheny
65,2575674,420032503001,15212,271162,Central Northside
66,2575675,420031306001,15208,271172,East Hills
67,2575677,420032620002,15212,343628,Spring Hill - City View
68,2575679,420031903002,15211,213615,Mount Washington
69,2575681,420031807003,15210,213615,Mount Washington
70,2575683,420033001003,15210,212283,Knoxville
71,2575685,420032507001,15212,343629,Marshall - Shadeland
72,2575687,420031406002,15208,214645,Point Breeze
73,2575688,420031918004,15226,208709,Brookline
74,2575689,420035625001,15204,210372,Esplen
75,2575690,420035628002,15205,343633,Oakwood
76,2575691,420032412002,15212,343624,Spring Garden
77,2575692,420030409001,15213,214069,Oakland
78,2575693,420031517002,15217,211218,Greenfield
79,2575695,420031803003,15210,272753,Allentown
80,2575696,420030703001,15232,54374,Shadyside
81,2575697,420032602003,15214,271206,Perry North
82,2575698,420031918001,15226,208709,Brookline
83,2575700,420031702004,15203,271217,Southside Flats
84,2575702,420032615002,15212,271207,Perry South
85,2575706,420032615002,15212,271207,Perry South
86,2575712,420031413002,15217,271220,Squirrel Hill South
87,2575714,420031014002,15206,213494,Morningside
88,2575715,420032904004,15227,208967,Carrick
89,2575716,420031706003,15210,272753,Allentown
90,2575717,420031702004,15203,271217,Southside Flats
91,2575718,420031916004,15216,208228,Beechview
92,2575720,420031014004,15206,213494,Morningside
93,2575725,420030201003,15222,271161,Central Business District
94,2575727,420035623002,15207,273829,Glen Hazel
95,2575730,420031018002,15206,215971,Stanton Heights
96,2575736,420035626003,15220,210276,Elliott
97,2575738,420032904002,15210,208967,Carrick
98,2575802,420031915002,15211,213615,Mount Washington
99,2575804,420031115003,15206,38290,East Liberty
100,2575805,420030405001,15213,214069,Oakland
101,2575815,420030201005,15222,271161,Central Business District
102,2575816,420031702004,15203,271217,Southside Flats
103,2575820,420039807001,15219,271216,South Shore
104,2575823,420030509001,15219,271154,Bedford Dwellings
105,2575824,420030201003,15222,271161,Central Business District
106,2575825,420030903001,15224,208472,Bloomfield
107,2575826,420031016001,15224,273806,Garfield
108,2575827,420032406002,15212,216452,Troy Hill
109,2575828,420032715002,15212,343629,Marshall - Shadeland
110,2575829,420030203001,15222,216117,Strip District
111,2575830,420030902001,15201,276248,Central Lawrenceville
112,2575831,,,,
113,2575834,420035620002,15213,271226,Upper Hill
114,2575837,420031408002,15217,271220,Squirrel Hill South
115,2575838,420030201001,15222,271161,Central Business District
116,2575839,,,,
117,2575840,420030201003,15219,271161,Central Business District
118,2575841,420031301003,15206,271185,Homewood North
119,2575842,420030705003,15206,54374,Shadyside
120,2575843,420035616004,15210,272790,Arlington
121,2575845,,,,
122,2575876,420031702004,15203,271217,Southside Flats
123,2575878,420030203001,15222,216117,Strip District
124,2575879,420035620002,15213,208472,Bloomfield
125,2575880,420031609002,15203,271217,Southside Flats
126,2575881,420031702003,15203,271217,Southside Flats
127,2575882,420032708003,15212,271156,Brighton Heights
128,2575884,420031702003,15203,271217,Southside Flats
129,2575885,420033102003,15207,343636,Lincoln Place
130,2575889,420032902004,15210,208967,Carrick
131,2575890,420030901001,15201,276248,Central Lawrenceville
132,2575892,420030703001,15232,54374,Shadyside
133,2575893,420033001003,15210,212283,Knoxville
134,2575894,420030703002,15232,54374,Shadyside
135,2575895,420039807001,15219,271216,South Shore
136,2575896,420030511001,15219,271224,Terrace Village
137,2575897,,,,
138,2575898,420039807001,15219,271216,South Shore
139,2575899,420039807001,15219,271216,South Shore
140,2575900,420031402001,15232,271219,Squirrel Hill North
141,2575905,,,,
142,2575914,420035630001,15205,271176,Fairywood
143,2575915,420035626001,15220,216959,West End
144,2575916,420030409002,15213,214069,Oakland
145,2575917,420035627002,15212,343638,Allegheny Center
146,2575918,420039807001,15203,271216,South Shore
147,2575919,420031609002,15203,271217,Southside Flats
148,2575920,420032022002,15204,215587,Sheraden
149,2575921,420031914002,15211,213615,Mount Washington
150,2575922,420031803002,15210,272753,Allentown
151,2575923,420031803002,15210,272753,Allentown
152,2575924,,,,
153,2575925,420031207001,15208,271187,Homewood West
154,2575927,420032715001,15212,343629,Marshall - Shadeland
155,2575928,420032406002,15212,216452,Troy Hill
156,2575929,420035631001,15205,343632,Westwood
157,2575931,420031114002,15206,273806,Garfield
158,2575932,420035626004,15220,210276,Elliott
159,2575934,420031406001,15208,214645,Point Breeze
160,2575935,420030708001,15206,54374,Shadyside
161,2575936,420030305002,15219,273391,Crawford Roberts
162,2575937,420030201003,15222,271161,Central Business District
163,2575939,420030405002,15213,214069,Oakland
164,2575940,420030903001,15224,208472,Bloomfield
165,2575941,420032507001,15233,343625,California-Kirkbride
166,2575945,420032406002,15212,216452,Troy Hill
167,2575946,420030305002,15219,273391,Crawford Roberts
168,2575947,420030201003,15219,271161,Central Business District
169,2575948,420031914001,15211,213615,Mount Washington
170,2575949,420034810003,15210,212283,Knoxville
171,2575950,420039810001,15201,276248,Central Lawrenceville
172,2575953,420031706001,15203,271218,Southside Slopes
173,2575954,420031011003,15201,271227,Upper Lawrenceville
174,2575955,420032901002,15210,208967,Carrick
175,2575956,420032602002,15214,271206,Perry North
176,2575957,420031914002,15211,213615,Mount Washington
177,2575958,420035632002,15212,271169,East Allegheny
178,2575959,420033001002,15210,212283,Knoxville
179,2575961,420032503001,15212,271162,Central Northside
180,2575962,420030402002,15213,271231,West Oakland
181,2575964,420035623004,15207,211463,Hazelwood
182,2575965,420031918004,15226,208709,Brookline
183,2575966,,,,
184,2575967,420030402001,15213,271231,West Oakland
185,2575968,420031303001,15208,271186,Homewood South
186,2575969,420030103003,15219,276217,Bluff
187,2575970,420035632002,15212,271169,East Allegheny
188,2575972,420031404001,15206,214645,Point Breeze
189,2575974,420030510001,15213,271224,Terrace Village
190,2575975,420030201002,15222,271161,Central Business District
191,2575976,420033204003,15210,214217,Overbrook
192,2575977,420035616003,15210,272790,Arlington
193,2575979,420031204002,15206,274272,Larimer
194,2575980,420030902001,15201,276248,Central Lawrenceville
195,2575981,420031115003,15206,38290,East Liberty
196,2575982,420032901003,15210,208967,Carrick
197,2575983,420035632002,15212,271169,East Allegheny
198,2575984,420032206001,15212,271162,Central Northside
199,2575985,420031414002,15217,271220,Squirrel Hill South
200,2575987,420030708001,15206,54374,Shadyside
201,2575988,420032406001,15212,216452,Troy Hill
202,2575989,420032507001,15212,343625,California-Kirkbride
