,crime_id,census_block_geoid,zipcode,region_id,region_name
0,2802309,420039812001,15212,271199,North Shore
1,2803174,420031011003,15201,271227,Upper Lawrenceville
2,2801809,420032609001,15214,271200,Northview Heights
3,2802315,420030201001,15222,271161,Central Business District
4,2802312,420032609001,15214,271200,Northview Heights
5,2802321,420031702003,15203,271217,Southside Flats
6,2802313,420035626003,15220,210276,Elliott
7,2802339,420031702003,15203,271217,Southside Flats
8,2802343,420031301001,15208,271185,Homewood North
9,2801341,420031608003,15203,271218,Southside Slopes
10,2802326,420031702004,15203,271217,Southside Flats
11,2803908,420031301001,15208,271185,Homewood North
12,2802325,420039812001,15212,271199,North Shore
13,2802336,420030201006,15222,271161,Central Business District
14,2802386,420032902005,15210,208967,Carrick
15,2802353,420030409001,15213,214069,Oakland
16,2804532,,,,
17,2802958,420030809001,15224,208472,Bloomfield
18,2802351,420031916004,15216,208228,Beechview
19,2801866,420030201001,15222,271161,Central Business District
20,2802322,420030103002,15219,276217,Bluff
21,2801328,420030203001,15222,216117,Strip District
22,2819972,420031807001,15211,213615,Mount Washington
23,2802354,420031702003,15203,271217,Southside Flats
24,2801998,420035628001,15106,343630,East Carnegie
25,2803900,420031609001,15203,271217,Southside Flats
26,2802359,420032814002,15205,343634,Crafton Heights
27,2802357,420032715002,15212,343629,Marshall - Shadeland
28,2802364,420031115004,15206,38290,East Liberty
29,2802363,420035632002,15212,271169,East Allegheny
30,2802374,420030203001,15222,216117,Strip District
31,2803029,420031702003,15203,271217,Southside Flats
32,2801580,420030807002,15232,271179,Friendship
33,2802822,420035616003,15210,272790,Arlington
34,2801778,420032206002,15212,271162,Central Northside
35,2802385,420031702002,15203,271217,Southside Flats
36,2802387,420032620003,15212,343628,Spring Hill - City View
37,2802388,420031920004,15216,208228,Beechview
38,2802406,420030807002,15232,271179,Friendship
39,2802442,,,,
40,2802401,420035631002,15205,343632,Westwood
41,2802323,420031306002,15221,271172,East Hills
42,2802410,420031917003,15226,208709,Brookline
43,2802409,420030201002,15222,271161,Central Business District
44,2802412,420031702004,15203,271217,Southside Flats
45,2802437,420031702004,15203,271217,Southside Flats
46,2802414,420031702003,15203,271217,Southside Flats
47,2802436,420039807001,15219,271216,South Shore
48,2802438,420032503001,15212,271162,Central Northside
49,2801504,420031608004,15210,271218,Southside Slopes
50,2802443,420030603001,15201,271192,Lower Lawrenceville
51,2802466,420032901001,15210,208967,Carrick
52,2801502,420030509001,15219,271154,Bedford Dwellings
53,2802446,420032406002,15212,216452,Troy Hill
54,2802448,420030201003,15222,271161,Central Business District
55,2801276,420031918007,15226,208709,Brookline
56,2801506,420030405001,15213,214069,Oakland
57,2801505,420032620002,15212,343628,Spring Hill - City View
58,2801508,420030405001,15213,214069,Oakland
59,2801510,420031016001,15224,273806,Garfield
60,2801511,420031702003,15203,271217,Southside Flats
61,2801695,420030409003,15213,214069,Oakland
62,2801521,420035626001,15220,216959,West End
63,2801338,420032902004,15210,208967,Carrick
64,2801519,420031608003,15203,271218,Southside Slopes
65,2801650,420030402002,15213,271231,West Oakland
66,2801518,420030902001,15201,276248,Central Lawrenceville
67,2801867,420030903001,15224,208472,Bloomfield
68,2801897,420031203001,15206,274318,Lincoln-Lemington-Belmar
69,2801851,420030901001,15201,276248,Central Lawrenceville
70,2803175,420032904002,15227,208967,Carrick
71,2801520,420032022001,15204,215587,Sheraden
72,2801788,420031914002,15211,213615,Mount Washington
73,2801799,420032406002,15212,216452,Troy Hill
74,2801785,420035624002,15210,208285,Beltzhoover
75,2801846,420035610001,15221,,
76,2801789,420031609002,15203,271217,Southside Flats
77,2801801,420032902001,15210,208967,Carrick
78,2801793,420032715001,15212,343629,Marshall - Shadeland
79,2801818,420031408002,15217,271220,Squirrel Hill South
80,2801802,420031702004,15203,271217,Southside Flats
81,2801795,420031914002,15211,213615,Mount Washington
82,2801797,420031706001,15203,271218,Southside Slopes
83,2801800,420030409003,15213,214069,Oakland
84,2802527,,,,
85,2801798,420031803001,15210,272753,Allentown
86,2801804,420031702004,15203,271217,Southside Flats
87,2802318,420035626001,15220,216959,West End
88,2801828,420031702003,15203,271217,Southside Flats
89,2801803,420035632002,15212,271169,East Allegheny
90,2804981,420030804001,15224,208472,Bloomfield
91,2801808,420030901002,15201,276248,Central Lawrenceville
92,2801815,420032607001,15214,271206,Perry North
93,2801820,420031702003,15203,271217,Southside Flats
94,2801842,420031304001,15208,271186,Homewood South
95,2801611,420030706001,15206,54374,Shadyside
96,2812132,420030807002,15232,271179,Friendship
97,2801830,420032701001,15212,271156,Brighton Heights
98,2807572,420032406001,15212,216452,Troy Hill
99,2801834,420035632001,15212,271199,North Shore
100,2801855,420032715003,15212,343629,Marshall - Shadeland
101,2802799,420032107001,15233,212921,Manchester
102,2802823,420033001006,15210,212283,Knoxville
103,2801858,420031402002,15217,271219,Squirrel Hill North
104,2801889,420031410001,15221,271211,Regent Square
105,2802795,420032620002,15212,343628,Spring Hill - City View
106,2802800,420031207001,15206,271187,Homewood West
107,2802807,420031408002,15217,271220,Squirrel Hill South
108,2802802,420032904002,15227,208967,Carrick
109,2802798,420031609002,15203,271217,Southside Flats
110,2802810,420035623002,15207,211463,Hazelwood
111,2802804,420030103002,15219,276217,Bluff
112,2802827,420035625004,15204,215587,Sheraden
113,2802825,420032406002,15212,216452,Troy Hill
114,2802815,420035626002,15220,210276,Elliott
115,2802818,420031608004,15203,271218,Southside Slopes
116,2802836,420031920004,15216,208228,Beechview
117,2802829,420031706002,15203,271218,Southside Slopes
118,2814005,,,,
119,2802530,420032107002,15233,212921,Manchester
120,2802832,420031102004,15206,273999,Highland Park
121,2802835,420031706001,15203,271218,Southside Slopes
122,2802838,420030501001,15219,271226,Upper Hill
123,2802841,420031917001,15226,208709,Brookline
124,2816485,420031301002,15208,271185,Homewood North
125,2802847,420031903002,15211,213615,Mount Washington
126,2801333,420032901003,15210,208967,Carrick
127,2802843,420032814002,15220,343634,Crafton Heights
128,2802846,420035623006,15207,211463,Hazelwood
129,2802850,420031115004,15206,38290,East Liberty
130,2802855,420039800001,15215,,
131,2802858,420030703002,15232,54374,Shadyside
132,2802834,420031517001,15217,211218,Greenfield
133,2802862,420032615002,15212,271207,Perry South
134,2802859,420031113001,15206,38290,East Liberty
135,2802860,420031017002,15224,273806,Garfield
136,2803031,420032814002,15205,343634,Crafton Heights
137,2802867,420030509001,15219,271154,Bedford Dwellings
138,2803027,420034810003,15210,212283,Knoxville
139,2801556,420031803001,15210,272753,Allentown
140,2803030,420035623005,15207,211463,Hazelwood
141,2803034,420031911002,15220,216959,West End
142,2803033,420031516001,15207,211218,Greenfield
143,2802924,420031702003,15203,271217,Southside Flats
144,2803035,420031702003,15203,271217,Southside Flats
145,2803789,420031406002,15221,214645,Point Breeze
146,2801513,420031911002,15211,210000,Duquesne Heights
147,2801531,420031517002,15217,211218,Greenfield
148,2801533,420033001004,15210,212283,Knoxville
149,2801534,420031706001,15203,271218,Southside Slopes
150,2801536,420035626003,15220,210276,Elliott
151,2801537,420032614001,15214,271207,Perry South
152,2801538,420030203001,15222,216117,Strip District
153,2801541,420032507001,15212,343625,California-Kirkbride
154,2801546,420030103004,15219,276217,Bluff
155,2801539,420030409003,15213,214069,Oakland
156,2801549,420032715002,15212,343629,Marshall - Shadeland
157,2801588,420030703001,15232,54374,Shadyside
158,2801555,420031911001,15211,210000,Duquesne Heights
159,2801607,420035628001,15106,343630,East Carnegie
160,2801568,420031916005,15216,208228,Beechview
161,2801599,420030203001,15222,216117,Strip District
162,2801545,420030603001,15201,271192,Lower Lawrenceville
163,2801602,420031207002,15208,271187,Homewood West
164,2801601,420031011003,15201,271227,Upper Lawrenceville
165,2801614,420039800001,15238,,
166,2801336,420031919002,15226,208709,Brookline
167,2801609,420030409001,15213,214069,Oakland
168,2801613,420035628002,15205,,
169,2801307,420031903001,15211,213615,Mount Washington
170,2801342,420031920005,15216,208228,Beechview
171,2801344,420030809001,15224,208472,Bloomfield
172,2801340,420032609001,15214,271200,Northview Heights
173,2801540,420032023002,15216,208110,Banksville
174,2801543,,,,
175,2801567,420031915002,15211,213615,Mount Washington
176,2801547,420031115001,15206,38290,East Liberty
177,2816912,,,,
178,2801554,420030802002,15224,208472,Bloomfield
179,2801553,420031405001,15208,271208,Point Breeze North
180,2801548,420035623004,15207,211463,Hazelwood
181,2801551,420030807002,15232,271179,Friendship
182,2801557,420031608004,15210,271218,Southside Slopes
183,2801558,420032701002,15212,271156,Brighton Heights
184,2801559,420031920005,15216,208228,Beechview
185,2801560,420031706002,15203,271218,Southside Slopes
186,2801562,420031608004,15210,271218,Southside Slopes
187,2801590,420031914001,15211,213615,Mount Washington
188,2801563,420032703001,15212,271156,Brighton Heights
189,2801565,420035632001,15212,271199,North Shore
190,2801566,420031916002,15216,208228,Beechview
191,2801569,420031702002,15203,271217,Southside Flats
192,2801564,420035624001,15210,272998,Bon Air
193,2801572,420031803002,15210,272753,Allentown
194,2801574,420032902003,15210,208967,Carrick
195,2801570,420035632002,15212,271169,East Allegheny
196,2801573,420031903002,15211,213615,Mount Washington
197,2801575,420031914002,15211,213615,Mount Washington
198,2801576,420031609001,15203,271217,Southside Flats
199,2801577,420032022001,15204,215587,Sheraden
200,2802138,420032901002,15210,208967,Carrick
201,2802332,420030201001,15222,271161,Central Business District
202,2801578,420032708002,15212,271156,Brighton Heights
203,2801579,420031609001,15203,271217,Southside Flats
204,2801581,420032620002,15212,343628,Spring Hill - City View
205,2801585,420031702001,15203,271217,Southside Flats
206,2801586,420039800001,15238,,
207,2801587,420031916004,15216,208228,Beechview
208,2801594,420030605001,15219,271209,Polish Hill
209,2801591,420031702001,15203,271217,Southside Flats
210,2801596,420035625004,15204,215587,Sheraden
211,2801595,420030903001,15224,208472,Bloomfield
212,2801597,420031702003,15203,271217,Southside Flats
213,2801598,420035625003,15204,215587,Sheraden
214,2810923,420033102003,15207,343636,Lincoln Place
215,2801126,420031306003,15221,271172,East Hills
216,2801152,420030103002,15219,276217,Bluff
217,2801127,420031702003,15203,271217,Southside Flats
218,2801129,,,,
219,2801130,420031702003,15203,271217,Southside Flats
220,2801131,420031702003,15203,271217,Southside Flats
221,2801270,420031702003,15203,271217,Southside Flats
