,crime_id,census_block_geoid,zipcode,region_id,region_name
0,2727492,420031114001,15206,273806,Garfield
1,2727728,420032602002,15214,271206,Perry North
2,2727729,420031106002,15206,273999,Highland Park
3,2727730,420032904001,15210,208967,Carrick
4,2727731,420031702003,15203,271217,Southside Flats
5,2727732,420031306001,15208,,
6,2727733,420030201006,15222,271161,Central Business District
7,2727734,420031306003,15221,271172,East Hills
8,2727736,420033001004,15210,212283,Knoxville
9,2727737,420031702004,15203,271217,Southside Flats
10,2727738,420031702003,15203,271217,Southside Flats
11,2727739,420033102003,15207,343636,Lincoln Place
12,2727740,420031702003,15203,271217,Southside Flats
13,2727741,420031702003,15203,271217,Southside Flats
14,2727742,420030402001,15213,271224,Terrace Village
15,2727743,420032703001,15212,271156,Brighton Heights
16,2727744,420035627002,15212,343638,Allegheny Center
17,2727746,420031114002,15206,273806,Garfield
18,2727748,420031702003,15203,271217,Southside Flats
19,2727749,420031702003,15203,271217,Southside Flats
20,2727750,420031516001,15207,211218,Greenfield
21,2727751,420032206001,15212,271162,Central Northside
22,2727752,420031303001,15208,271186,Homewood South
23,2727753,420031702001,15203,271217,Southside Flats
24,2727754,420031702003,15203,271217,Southside Flats
25,2727755,420031608004,15203,271218,Southside Slopes
26,2727757,420030203001,15222,216117,Strip District
27,2727758,420032602002,15214,271206,Perry North
28,2727759,420039810001,15201,276248,Central Lawrenceville
29,2727761,420031903002,15211,213615,Mount Washington
30,2727762,420031702003,15203,271217,Southside Flats
31,2727763,420031702003,15203,271217,Southside Flats
32,2727766,420031702003,15203,271217,Southside Flats
33,2727767,420031702002,15203,271217,Southside Flats
34,2727768,420031807003,15211,213615,Mount Washington
35,2727770,420031702004,15203,271217,Southside Flats
36,2727771,420032902002,15210,208967,Carrick
37,2727772,420035632003,15212,271169,East Allegheny
38,2727773,420030903002,15224,208472,Bloomfield
39,2727774,420031303002,15208,271186,Homewood South
40,2727775,420033001001,15210,212283,Knoxville
41,2727776,420030903002,15224,208472,Bloomfield
42,2727778,420031014003,15206,215971,Stanton Heights
43,2727779,420031920002,15216,208228,Beechview
44,2727780,420035616004,15210,272790,Arlington
45,2727781,420031306001,15221,271172,East Hills
46,2727784,420031403001,15217,271219,Squirrel Hill North
47,2727787,420030201003,15222,271161,Central Business District
48,2727789,420031517005,15217,211218,Greenfield
49,2727790,420030402002,15213,271231,West Oakland
50,2727791,420032206002,15212,271162,Central Northside
