census_block_geoid,count
420030103001.0,74
420030103002.0,147
420030103003.0,254
420030103004.0,238
420030201001.0,519
420030201002.0,310
420030201003.0,797
420030201004.0,121
420030201005.0,372
420030201006.0,272
420030203001.0,429
420030305001.0,125
420030305002.0,386
420030402001.0,65
420030402002.0,84
420030404001.0,95
420030404002.0,31
420030405001.0,248
420030405002.0,178
420030406001.0,137
420030409001.0,210
420030409002.0,72
420030409003.0,66
420030501001.0,72
420030501002.0,134
420030501003.0,262
420030506001.0,63
420030506002.0,45
420030506003.0,78
420030509001.0,179
420030510001.0,70
420030510002.0,60
420030511001.0,107
420030603001.0,99
420030603002.0,163
420030605001.0,71
420030605002.0,58
420030703001.0,50
420030703002.0,112
420030703003.0,64
420030705001.0,35
420030705002.0,35
420030705003.0,165
420030706001.0,56
420030706002.0,95
420030708001.0,213
420030708002.0,34
420030709001.0,105
420030709002.0,102
420030709003.0,22
420030709004.0,30
420030802001.0,100
420030802002.0,57
420030804001.0,105
420030804002.0,93
420030806001.0,79
420030806002.0,50
420030807001.0,57
420030807002.0,165
420030809001.0,105
420030809002.0,125
420030901001.0,66
420030901002.0,73
420030902001.0,141
420030902002.0,62
420030902003.0,81
420030903001.0,117
420030903002.0,88
420031005001.0,46
420031005002.0,62
420031011001.0,83
420031011002.0,53
420031011003.0,74
420031014001.0,84
420031014002.0,39
420031014003.0,35
420031014004.0,26
420031016001.0,94
420031017001.0,38
420031017002.0,135
420031018001.0,19
420031018002.0,65
420031102001.0,26
420031102002.0,33
420031102003.0,33
420031102004.0,55
420031106001.0,38
420031106002.0,46
420031106003.0,19
420031113001.0,54
420031113002.0,77
420031113003.0,84
420031113004.0,80
420031114001.0,115
420031114002.0,90
420031115001.0,130
420031115002.0,159
420031115003.0,222
420031115004.0,144
420031203001.0,182
420031203002.0,110
420031204001.0,87
420031204002.0,33
420031207001.0,54
420031207002.0,117
420031208001.0,97
420031208002.0,206
420031301001.0,181
420031301002.0,50
420031301003.0,150
